,item id,item title,attachment id,attachment label,attachment title,attachment type,attachment description,attachment date,attachment contributors,attachment subjects,attachment series,attachment extent,attachment notes,attachment citation,attachment language,attachment identifier,attachment file access,attachment derivative access,attachment md,file id,file access count,file created,file location,file checksum,file mime,file original_filename,file size,file url,file type,media type,storage path,old item id,image id,document id,video id,audio id,generic file id
0,13388,"Is local more sustainable in Phoenix, Arizona?",82940,ASU_SSEBE_CESEM_2012_CPR_003.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",51720,1147.0,2012-05-02 18:39:48.299681+00:00,filestore/5f/0f/b7/5f0fb722e4ad57e9502395d6ab4b0bc5,5f0fb722e4ad57e9502395d6ab4b0bc5,application/pdf,ASU_SSEBE_CESEM_2012_CPR_003.pdf,434774.0,/attachments/82940/content/ASU_SSEBE_CESEM_2012_CPR_003.pdf,file,document,5f/0f/b7/5f0fb722e4ad57e9502395d6ab4b0bc5,,,51720,,,
1,13387,A Consequential Comparative Life Cycle Assessment of Seitan and Beef,82942,ASU_SSEBE_CESEM_2012_CPR_002.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",51722,8060.0,2012-05-02 18:42:07.104699+00:00,filestore/52/e4/1e/52e41e96e052acf875a677aaeda87b0c,52e41e96e052acf875a677aaeda87b0c,application/pdf,ASU_SSEBE_CESEM_2012_CPR_002.pdf,619066.0,/attachments/82942/content/ASU_SSEBE_CESEM_2012_CPR_002.pdf,file,document,52/e4/1e/52e41e96e052acf875a677aaeda87b0c,,,51722,,,
2,13386,Life Cycle Assessment of Residential Solid Oxide Fuel Cells,82943,ASU_SSEBE_CESEM_2012_CPR_001.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",51723,1230.0,2012-05-02 18:43:48.090592+00:00,filestore/39/72/20/3972205c8700765db969a6a788b86747,3972205c8700765db969a6a788b86747,application/pdf,ASU_SSEBE_CESEM_2012_CPR_001.pdf,1597695.0,/attachments/82943/content/ASU_SSEBE_CESEM_2012_CPR_001.pdf,file,document,39/72/20/3972205c8700765db969a6a788b86747,,,51723,,,
3,13389,Lifecycle Assessment for a Devoted Religious Adherent,82944,ASU_SSEBE_CESEM_2012_CPR_004.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",51724,1253.0,2012-05-02 18:57:20.539583+00:00,filestore/31/9c/3b/319c3b117a0305b5efde725fb212bdc0,319c3b117a0305b5efde725fb212bdc0,application/pdf,ASU_SSEBE_CESEM_2012_CPR_004.pdf,924992.0,/attachments/82944/content/ASU_SSEBE_CESEM_2012_CPR_004.pdf,file,document,31/9c/3b/319c3b117a0305b5efde725fb212bdc0,,,51724,,,
4,13516,A framework and review for using life cycle assessment to inform eco-labeling of wild caught fisheries,85841,ASU_SSEBE_CESEM_2012_CPR_005.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",53811,996.0,2012-05-16 16:46:46.290282+00:00,filestore/17/c9/a7/17c9a735574eddf3dbb58be6d8a29f65,17c9a735574eddf3dbb58be6d8a29f65,application/pdf,ASU_SSEBE_CESEM_2012_CPR_005.pdf,392615.0,/attachments/85841/content/ASU_SSEBE_CESEM_2012_CPR_005.pdf,file,document,17/c9/a7/17c9a735574eddf3dbb58be6d8a29f65,,,53811,,,
5,13517,Where to Go From Here? Exploring Shrimp Farming LCA in Thailand,85842,ASU_SSEBE_CESEM_2012_CPR_006.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",53812,1714.0,2012-05-16 17:03:38.015561+00:00,filestore/16/44/d7/1644d7bc659c80a7144f2ae4a506c09d,1644d7bc659c80a7144f2ae4a506c09d,application/pdf,ASU_SSEBE_CESEM_2012_CPR_006.pdf,1157047.0,/attachments/85842/content/ASU_SSEBE_CESEM_2012_CPR_006.pdf,file,document,16/44/d7/1644d7bc659c80a7144f2ae4a506c09d,,,53812,,,
6,13518,Algae Growth for Lipid Production,85843,ASU_SSEBE_CESEM_2012_CPR_007.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",53813,2996.0,2012-05-16 17:27:47.122358+00:00,filestore/eb/07/dc/eb07dc044f1e8924f6b35e3f9ff3d505,eb07dc044f1e8924f6b35e3f9ff3d505,application/pdf,ASU_SSEBE_CESEM_2012_CPR_007.pdf,821710.0,/attachments/85843/content/ASU_SSEBE_CESEM_2012_CPR_007.pdf,file,document,eb/07/dc/eb07dc044f1e8924f6b35e3f9ff3d505,,,53813,,,
7,13519,"A Consequential Life Cycle Assessment of the SCEIP Financing Program for Residential Photovoltaics in Sonoma County, CA: determining the life cycle carbon and energy cost benefit",85844,ASU_SSEBE_CESEM_2012_CPR_008.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",53814,1001.0,2012-05-16 17:43:39.080595+00:00,filestore/4d/19/fa/4d19fa0b87b33ca88de961f0e6bd8293,4d19fa0b87b33ca88de961f0e6bd8293,application/pdf,ASU_SSEBE_CESEM_2012_CPR_008.pdf,887354.0,/attachments/85844/content/ASU_SSEBE_CESEM_2012_CPR_008.pdf,file,document,4d/19/fa/4d19fa0b87b33ca88de961f0e6bd8293,,,53814,,,
8,13520,Anticipatory Life Cycle Assessment of Single Wall Carbon Nanotube Anode Lithium ion Batteries,85845,ASU_SSEBE_CESEM_2012_CPR_009.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",53815,1840.0,2012-05-16 17:59:08.427857+00:00,filestore/b8/c7/14/b8c7149116c74560bdd273e4f84cf67c,b8c7149116c74560bdd273e4f84cf67c,application/pdf,ASU_SSEBE_CESEM_2012_CPR_009.pdf,806108.0,/attachments/85845/content/ASU_SSEBE_CESEM_2012_CPR_009.pdf,file,document,b8/c7/14/b8c7149116c74560bdd273e4f84cf67c,,,53815,,,
9,13521,Life cycle Assessment on the effectiveness of Germany's energy and climate policy,85846,ASU_SSEBE_CESEM_2012_CPR_010.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",53816,1820.0,2012-05-16 18:13:24.116018+00:00,filestore/53/7b/f1/537bf15bc470d243ea37b0e39860f4fc,537bf15bc470d243ea37b0e39860f4fc,application/pdf,ASU_SSEBE_CESEM_2012_CPR_010.pdf,1126327.0,/attachments/85846/content/ASU_SSEBE_CESEM_2012_CPR_010.pdf,file,document,53/7b/f1/537bf15bc470d243ea37b0e39860f4fc,,,53816,,,
10,13522,Future Life-Cycle Footprints of Passenger Transportation in San Francisco,85847,ASU_SSEBE_CESEM_2012_CPR_011.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",53817,856.0,2012-05-16 18:27:19.788546+00:00,filestore/0a/96/99/0a9699fd634bc3b61c1b10dce3c5d0d6,0a9699fd634bc3b61c1b10dce3c5d0d6,application/pdf,ASU_SSEBE_CESEM_2012_CPR_011.pdf,769611.0,/attachments/85847/content/ASU_SSEBE_CESEM_2012_CPR_011.pdf,file,document,0a/96/99/0a9699fd634bc3b61c1b10dce3c5d0d6,,,53817,,,
11,13602,"Urban Metabolism and the Energy-Water Nexus in Phoenix, Arizona",86584,ASU_SSEBE_CESEM_2012_CPR_012.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",54306,9564.0,2012-05-22 21:29:46.270715+00:00,filestore/ed/02/82/ed02821f0c4f3551f0cda1239b04400d,ed02821f0c4f3551f0cda1239b04400d,application/pdf,ASU_SSEBE_CESEM_2012_CPR_012.pdf,2068990.0,/attachments/86584/content/ASU_SSEBE_CESEM_2012_CPR_012.pdf,file,document,ed/02/82/ed02821f0c4f3551f0cda1239b04400d,,,54306,,,
12,14198,Methodology for the Environmental Life-cycle Assessment of Los Angeles Metro’s Orange Bus Rapid Transit  and Gold Light Rail Transit Lines,92943,chester-ASU-SSEBE-CESEM-2012-WPS-002.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",60121,1241.0,2012-07-30 21:43:11.330193+00:00,filestore/33/c0/9a/33c09a96edd641ff529d278b415c5a59,33c09a96edd641ff529d278b415c5a59,application/pdf,chester-ASU-SSEBE-CESEM-2012-WPS-002.pdf,3151511.0,/attachments/92943/content/chester-ASU-SSEBE-CESEM-2012-WPS-002.pdf,file,document,33/c0/9a/33c09a96edd641ff529d278b415c5a59,,,60121,,,
13,14236,Life Cycle Assessment of Ecosystem Services for Phoenix’s Building Stock,93075,ferrell-ASU-SSEBE-CESEM-2012-RPR-001.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",60286,4714.0,2012-08-23 23:50:03.027919+00:00,filestore/8d/80/e2/8d80e20d2ba1791810d4b92cb25520a8,8d80e20d2ba1791810d4b92cb25520a8,application/pdf,ferrell-ASU-SSEBE-CESEM-2012-RPR-001.pdf,617590.0,/attachments/93075/content/ferrell-ASU-SSEBE-CESEM-2012-RPR-001.pdf,file,document,8d/80/e2/8d80e20d2ba1791810d4b92cb25520a8,,,60286,,,
14,14223,Environmental Life-cycle Assessment of Los Angeles Metro’s Orange Bus Rapid Transit and Gold Light Rail Transit Lines,94226,Project Working Paper,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",61470,5567.0,2012-09-04 15:42:01.629628+00:00,filestore/d3/40/89/d34089ba73d261f1890668922745dd27,d34089ba73d261f1890668922745dd27,application/pdf,chester-ASU-SSEBE-CESEM-2012-WPS-003.pdf,4664345.0,/attachments/94226/content/chester-ASU-SSEBE-CESEM-2012-WPS-003.pdf,file,document,d3/40/89/d34089ba73d261f1890668922745dd27,,,61470,,,
15,94565,Policy Brief: Transit-oriented Development Infill in Phoenix Can Reduce Future Transportation and Land Use Life-cycle Environmental Impacts,94565,chester-ASU-SSEBE-CESEM-2012-RPR-002.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",61470,,,,,,,,,file,document,,15341,,,,,
16,96641,Smart Growth Along the Proposed Phoenix Light Rail Expansion Lines Can Reduce Future Urban Energy Consumption and Environmental Impacts,96641,ASU_SSEBE_CESEM_2012_CPR_013.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",64961,9426.0,2012-12-19 4:21:54.893528+00:00,filestore/c6/a5/2d/c6a52d4aeb0b9f66196f02257cfd9277,c6a52d4aeb0b9f66196f02257cfd9277,application/pdf,ASU_SSEBE_CESEM_2012_CPR_013.pdf,2871876.0,/attachments/96641/content/ASU_SSEBE_CESEM_2012_CPR_013.pdf,file,document,c6/a5/2d/c6a52d4aeb0b9f66196f02257cfd9277,15667,,64961,,,
17,16659,The Phoenix Imperative: An Alternative Maturity Model for Systems Engineering Service Providers,106179,ASU_SSEBE_CESEM_2013_WPS_003.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",76730,685.0,2013-04-17 23:10:15.185476+00:00,filestore/a8/7b/09/a87b096cef43dd3bd8106ea672796766,a87b096cef43dd3bd8106ea672796766,application/pdf,ASU_SSEBE_CESEM_2013_WPS_003.pdf,407244.0,/attachments/106179/content/ASU_SSEBE_CESEM_2013_WPS_003.pdf,file,document,a8/7b/09/a87b096cef43dd3bd8106ea672796766,,,76730,,,
18,16658,Summary of Allenby’s ESEM Principles,106268,ASU_SSEBE_CESEM_2013_WPS_002.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",76936,2267.0,2013-04-18 19:54:04.734126+00:00,filestore/3c/44/de/3c44de2c8a9c613b0f42cd5676fab868,3c44de2c8a9c613b0f42cd5676fab868,application/pdf,ASU_SSEBE_CESEM_2013_WPS_002.pdf,309653.0,/attachments/106268/content/ASU_SSEBE_CESEM_2013_WPS_002.pdf,file,document,3c/44/de/3c44de2c8a9c613b0f42cd5676fab868,,,76936,,,
19,16764,Policy Brief: Infrastructure and Automobile Shifts: Positioning Transit to Reduce Life-cycle Environmental Impacts for Urban Sustainability Goals,106459,chester-ASU-SSEBE-CESEM-2013-RPR-001.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",77109,1066.0,2013-04-25 4:54:06.498690+00:00,filestore/ff/7f/40/ff7f40da41f5661a1a471469da2753ae,ff7f40da41f5661a1a471469da2753ae,application/pdf,chester-ASU-SSEBE-CESEM-2013-RPR-001.pdf,632418.0,/attachments/106459/content/chester-ASU-SSEBE-CESEM-2013-RPR-001.pdf,file,document,ff/7f/40/ff7f40da41f5661a1a471469da2753ae,,,77109,,,
20,17479,Producing a Legally Autonomous Adult: Foster Care as a System Expansion in Life-Cycle Assessment,108284,ASU_SSEBE_CESEM_2013_CPR_001.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",78789,1078.0,2013-05-31 22:19:43.994606+00:00,filestore/a8/b9/93/a8b993b654b12fee1ea24c0bd2504815,a8b993b654b12fee1ea24c0bd2504815,application/pdf,ASU_SSEBE_CESEM_2013_CPR_001.pdf,1864618.0,/attachments/108284/content/ASU_SSEBE_CESEM_2013_CPR_001.pdf,file,document,a8/b9/93/a8b993b654b12fee1ea24c0bd2504815,,,78789,,,
21,17480,Life Cycle Costing Assessment: A Building Information Model (BIM) Investment Evaluation for General Contractors in the Construction Industry,108285,ASU_SSEBE_CESEM_2013_CPR_002.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'subject': [], 'language': [], 'description': [], 'notes': [], 'contributor': [], 'series': [], 'extent': [], 'identifier': [], 'citation': []}",78790,1789.0,2013-05-31 22:30:13.352874+00:00,filestore/f2/3e/28/f23e2819f195e30f7aed6bc80e4b52df,f23e2819f195e30f7aed6bc80e4b52df,application/pdf,ASU_SSEBE_CESEM_2013_CPR_002.pdf,398040.0,/attachments/108285/content/ASU_SSEBE_CESEM_2013_CPR_002.pdf,file,document,f2/3e/28/f23e2819f195e30f7aed6bc80e4b52df,,,78790,,,
